12:04:04.008 [main] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
12:04:04.044 [main] INFO  c.b.launchers.LaunchMavenCommand - The maven properties for launcher are [archetypeVersion=1.5, archetypeGroupId=com.browserstack, archetypeArtifactId=browserstack-sdk-archetype-integrate, BROWSERSTACK_ACCESS_KEY=xK88P229VbyaLSWcRyye, groupId=com.browserstack, artifactId=java-archetype-integrate, BROWSERSTACK_USERNAME=mayur_X5qSjd, BROWSERSTACK_FRAMEWORK=Java-Selenium-TestNG, BUILD_NAME=browserstack build, version=1.0, PROJECT_NAME=BrowserStackMobileTest, BROWSERSTACK_SOURCE=Java-Selenium-TestNG:eclipse:v1.0.10]
12:04:04.051 [Worker-28: Launching mavenrun-89416311-aaf9-4af0-ae24-453769c40176] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
12:04:31.282 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
12:04:31.283 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:04:31.286 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/BrowserStackUIMobileTesting
12:04:31.287 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
12:04:31.287 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:04:31.289 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/BrowserStackUIMobileTesting
12:06:50.858 [Worker-30: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
12:06:50.861 [Worker-30: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
12:06:50.868 [Worker-30: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:06:50.870 [Worker-30: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
12:07:47.960 [Worker-27: Launching BrowserStackUIMobileTesting_testng.xml] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
12:07:47.963 [Worker-27: Launching BrowserStackUIMobileTesting_testng.xml] INFO  c.b.BrowserStackPluginActivator - Existing javaagentArgline (BROWSERSTACK_JAVAAGENT_ARGLINE) in plugin prefs is 
12:07:47.969 [Worker-27: Launching BrowserStackUIMobileTesting_testng.xml] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:07:47.972 [Worker-27: Launching BrowserStackUIMobileTesting_testng.xml] INFO  c.b.BrowserStackPluginActivator - The environment variables for the launch configuration are {BROWSERSTACK_EXEC_SOURCE=eclipse/1.0.10}
12:13:33.486 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackEnabled
12:13:33.502 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:13:33.509 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackEnabled : true P/BrowserStackUIMobileTesting
12:13:33.509 [main] INFO  c.b.a.BrowserStackPropertyTester - Testing : isBrowserStackDisabled
12:13:33.509 [main] INFO  c.b.BrowserStackPluginActivator - Prefs Keys []
12:13:33.509 [main] INFO  c.b.a.BrowserStackPropertyTester - Validation Result isBrowserStackDisabled : false P/BrowserStackUIMobileTesting
12:13:41.067 [Worker-32: Launching SwagLabsTest] INFO  c.b.BrowserStackPluginActivator - The previous launch removed.
